Age,Gender,Civil Status,Religion,Educational Attainment,Barangay,Type of Current Offense,Prior Convictions,Juvenile Records,History of Incarceration,Length of Current Sentence (yrs),Time Served (yrs),Reoffense Nature,Time to Reoffend (mos),Infractions Count,Infractions Type,Jail Behavior Rating,Solitary Time (days),Jail Duties,Rehab Programs,Religious Activities,Group Recreation,Psych Assessment Result,Personality Disorders,Conflict in Jail,Impulsivity,Manipulativeness,Aggression,Remorse,Law Belief,Rehab Attitude,Gang Affiliation,Peer Influence,Friends w/ Record,Peer Type,Living Before Arrest,Education in Jail,Vocational Training,Therapy Attendance,Substance Abuse,Drug Rehab,Family Support,Family Relationship,Domestic Trauma,Marital Quality,Dependents,Family Reunification Intent,Pre-Jail Education,Job History,Income Level,Homelessness,Access to Needs,Juvenile Street Living,Release Date,Parole Status,Job After Release,NGO Support,Post-Release Housing,Post-Release Programs,Reoffend Time (mos),Reoffense Type
38,Female,Single,Iglesia,College,Patimbao,Illegal Drugs,1 - Homicide,No,Yes,14,5,None,,3,Contraband,Good,2,Yes,No,Yes,None,Low,None,Yes,High,High,High,Yes,High,Willing,No,No,3,Antisocial,With Peers,Yes,Yes,No,Both,Yes,Occasional,Absent,Yes,,2,Yes,College,Factory,None,Yes,None,Yes,9/27/2022,None,Unemployed,No,Renting,Yes,,
30,Female,Single,Christian,Vocational,Palasan,Illegal Drugs,0 - Illegal Drugs,Yes,No,9,7.2,Escalation,20,4,Contraband,Good,22,Yes,No,No,None,Very High,Schizoid,Yes,Low,Moderate,Low,No,High,Willing,Yes,No,0,Prosocial,With Family,Yes,Yes,Yes,Both,Yes,Occasional,Strong,Yes,Good,2,No,Vocational,Construction,None,Yes,None,Yes,9/4/2022,Parole,Unemployed,No,Renting,No,20,Illegal Drugs
38,Male,Separated,Christian,High School,Taytay,Assault,3 - Theft,No,No,2,1.9,None,,5,None,Good,2,Yes,Yes,Yes,Sports,High,BPD,No,Low,Moderate,Moderate,Yes,Low,Cooperative,No,Yes,1,Prosocial,With Family,No,No,Yes,Both,Yes,Frequent,Strong,No,Poor,5,No,High School,Factory,None,Yes,Regular,Yes,3/23/2020,Parole,Employed,Yes,With Family,No,,
47,Female,Widowed,Muslim,Graduate,Calios,Homicide,3 - Illegal Drugs,Yes,Yes,9,6.7,Same,25,4,Contraband,Good,9,Yes,No,No,Art Therapy,Moderate,BPD,Yes,High,Moderate,Moderate,No,High,Resistant,Yes,No,1,Antisocial,With Peers,No,Yes,No,Alcohol,Yes,Occasional,Absent,Yes,Poor,1,No,Graduate,Retail,High,Yes,Regular,Yes,8/6/2024,Completed,Unemployed,Yes,With Family,No,25,Homicide
55,Male,Widowed,Iglesia,College,Alipit,Homicide,0 - Assault,No,No,2,1.3,None,,2,Contraband,Good,19,No,No,Yes,None,High,BPD,Yes,Low,Moderate,Low,Yes,High,Willing,Yes,No,4,Prosocial,Alone,Yes,Yes,Yes,Alcohol,Yes,None,Strained,Yes,Poor,2,Yes,College,Clerk,Low,No,Regular,Yes,11/11/2022,Completed,Employed,Yes,With Family,No,,
41,Female,Married,Muslim,Elementary,Pagsawitan,Illegal Drugs,0 - Illegal Drugs,No,Yes,4,0.6,Same,8,1,Verbal Threats,Fair,13,No,No,Yes,Sports,High,BPD,No,High,Moderate,High,No,High,Cooperative,No,No,5,Antisocial,Alone,No,No,Yes,Alcohol,No,Frequent,Absent,No,,3,No,Elementary,Factory,High,No,None,Yes,7/22/2022,None,Unemployed,No,With Family,Yes,8,Illegal Drugs
31,Female,Single,Iglesia,Graduate,Calios,Fraud,2 - Robbery,No,No,3,2.3,None,,3,Fighting,Good,18,No,Yes,Yes,Art Therapy,Low,None,No,Moderate,Moderate,Low,No,Moderate,Resistant,Yes,Yes,0,Antisocial,With Family,Yes,No,Yes,Drugs,Yes,Frequent,Absent,No,,5,Yes,Graduate,Odd Jobs,Low,Yes,None,Yes,4/7/2022,Parole,Unemployed,Yes,Homeless,No,,
65,Female,Widowed,Muslim,Vocational,Labuin,Estafa,0 - Estafa,Yes,Yes,10,10,None,,4,Contraband,Good,25,Yes,Yes,No,Art Therapy,Very High,BPD,Yes,High,Low,Low,Some,Low,Willing,No,No,0,Antisocial,Homeless,No,Yes,Yes,Both,Yes,None,Strained,No,,4,No,Vocational,Clerk,High,Yes,Irregular,Yes,8/21/2022,None,Unemployed,No,With Family,Yes,,
40,Female,Single,Catholic,Vocational,Alipit,Assault,2 - Assault,Yes,Yes,3,2.3,Escalation,33,4,Contraband,Good,8,No,Yes,No,None,Moderate,Narcissistic,No,Moderate,Low,Moderate,Some,High,Willing,No,Yes,0,Antisocial,Homeless,Yes,Yes,No,Both,Yes,Occasional,Strained,No,Poor,4,No,Vocational,Retail,Medium,No,None,Yes,4/23/2023,Parole,Employed,Yes,Halfway House,No,33,Assault
49,Female,Widowed,Catholic,Elementary,Aplaya,Assault,2 - Homicide,No,No,11,5.1,Escalation,2,5,None,Poor,25,Yes,No,No,None,Low,Antisocial,No,Moderate,Low,Low,Yes,Low,Willing,Yes,Yes,2,Antisocial,Alone,No,Yes,No,Alcohol,Yes,None,Strong,No,Poor,3,Yes,Elementary,Construction,None,No,Irregular,No,6/28/2021,Parole,Unemployed,No,Halfway House,No,2,Assault
45,Female,Married,Iglesia,High School,Malinao,Illegal Drugs,2 - Illegal Drugs,No,No,3,1.8,Same,10,0,Fighting,Good,1,No,Yes,Yes,Art Therapy,High,Schizoid,No,Low,Moderate,Low,Some,Moderate,Cooperative,Yes,Yes,5,Prosocial,Homeless,No,Yes,No,Both,Yes,Occasional,Strong,No,Good,0,Yes,High School,Odd Jobs,None,No,Irregular,Yes,1/12/2021,None,Employed,No,Halfway House,Yes,10,Illegal Drugs
43,Female,Single,Muslim,College,Alipit,Assault,2 - Homicide,No,Yes,4,1.9,None,,2,Verbal Threats,Good,28,Yes,Yes,Yes,Sports,Very High,Narcissistic,No,High,Low,Moderate,Yes,Moderate,Cooperative,Yes,Yes,0,Prosocial,With Family,No,No,Yes,Both,No,None,Strong,No,Good,2,No,College,Construction,Low,Yes,Irregular,Yes,3/6/2022,Parole,Unemployed,Yes,Halfway House,Yes,,
23,Male,Separated,Iglesia,Elementary,Gatmaitan,Illegal Drugs,3 - Assault,No,Yes,12,5.1,Escalation,11,4,None,Good,2,No,No,No,None,Very High,BPD,Yes,Low,Low,Low,Yes,Low,Resistant,No,Yes,5,Antisocial,Alone,Yes,No,Yes,Alcohol,Yes,Occasional,Strained,No,Good,2,No,Elementary,Factory,None,No,None,Yes,5/9/2021,None,Unemployed,No,Homeless,Yes,11,Illegal Drugs
35,Male,Married,Iglesia,None,Calios,Homicide,2 - Assault,No,Yes,8,4.9,Same,31,0,Fighting,Good,28,No,No,Yes,None,Very High,Schizoid,Yes,Moderate,Moderate,High,Some,Low,Cooperative,Yes,No,5,Prosocial,With Peers,No,Yes,Yes,Drugs,Yes,Occasional,Strained,Yes,Good,4,No,None,Retail,None,No,Regular,Yes,7/25/2022,Parole,Employed,No,Renting,No,31,Homicide
43,Female,Widowed,Iglesia,None,Bagumbayan,Robbery,2 - Fraud,Yes,Yes,10,6.1,Escalation,21,3,Fighting,Good,27,Yes,No,No,None,Low,None,Yes,Moderate,High,Moderate,Yes,Low,Willing,Yes,No,1,Antisocial,Homeless,No,Yes,Yes,Alcohol,Yes,Occasional,Strong,No,Good,4,No,None,Construction,High,No,Regular,No,6/22/2023,Completed,Employed,Yes,Halfway House,No,21,Robbery
51,Male,Separated,Iglesia,None,Palasan,Robbery,1 - Illegal Drugs,No,Yes,9,2.2,Same,31,4,Fighting,Fair,27,Yes,No,Yes,Art Therapy,Very High,Schizoid,No,Moderate,High,High,Yes,High,Cooperative,No,No,3,Prosocial,Alone,Yes,Yes,Yes,Alcohol,Yes,Occasional,Strained,Yes,,1,No,None,Clerk,None,No,Irregular,Yes,3/18/2024,Parole,Employed,Yes,Homeless,Yes,31,Robbery
34,Male,Single,Christian,Vocational,Bagumbayan,Estafa,1 - Estafa,Yes,Yes,11,2,Escalation,33,4,Contraband,Poor,10,No,Yes,No,Art Therapy,Moderate,Schizoid,Yes,High,High,Low,Some,High,Resistant,Yes,Yes,2,Antisocial,Homeless,Yes,Yes,No,None,No,Frequent,Absent,Yes,,4,Yes,Vocational,Factory,None,No,Regular,Yes,7/24/2021,Parole,Unemployed,Yes,Halfway House,No,33,Estafa
39,Male,Married,Iglesia,High School,Labuin,Assault,1 - Estafa,No,Yes,13,2.2,None,,5,None,Good,5,Yes,Yes,No,Art Therapy,Moderate,BPD,No,Low,Low,Moderate,No,High,Cooperative,Yes,No,2,Prosocial,With Family,Yes,No,No,None,No,Frequent,Absent,No,Good,2,No,High School,Unemployed,Low,Yes,None,No,12/1/2023,None,Unemployed,No,Halfway House,Yes,,
59,Female,Separated,Muslim,Vocational,Santo Angel,Homicide,0 - Robbery,Yes,Yes,15,13.5,None,,0,None,Good,6,Yes,Yes,No,Art Therapy,High,Antisocial,Yes,Moderate,Low,Moderate,No,High,Resistant,No,Yes,3,Prosocial,Homeless,No,No,Yes,Both,No,None,Strained,No,Good,5,Yes,Vocational,Odd Jobs,Low,No,Irregular,No,12/19/2024,Completed,Employed,No,Renting,No,,
60,Male,Widowed,Christian,Graduate,Bagumbayan,Illegal Drugs,2 - Robbery,Yes,No,3,1.6,Same,32,3,None,Fair,22,No,Yes,Yes,Sports,Low,BPD,No,Low,High,Low,No,High,Willing,Yes,Yes,5,Antisocial,Alone,No,No,Yes,None,No,Occasional,Strong,Yes,,1,No,Graduate,Factory,Low,No,Regular,Yes,3/16/2021,Parole,Employed,No,Halfway House,Yes,32,Illegal Drugs
65,Female,Single,Christian,High School,Jasaan,Estafa,1 - Homicide,No,Yes,2,1.5,Same,5,3,Fighting,Good,24,No,No,No,None,Low,Antisocial,No,Low,Low,High,No,High,Cooperative,No,No,0,Prosocial,Homeless,Yes,Yes,Yes,Both,Yes,None,Absent,No,Poor,4,Yes,High School,Odd Jobs,Medium,No,Irregular,Yes,7/19/2024,None,Employed,Yes,Homeless,Yes,5,Estafa
41,Female,Married,Catholic,High School,San Juan,Illegal Drugs,3 - Assault,Yes,Yes,4,3.7,Escalation,8,1,None,Fair,22,No,No,Yes,Art Therapy,Low,Narcissistic,Yes,Moderate,Moderate,Low,Yes,Moderate,Resistant,Yes,No,5,Antisocial,Homeless,No,Yes,Yes,Both,No,Occasional,Strong,No,,2,Yes,High School,Unemployed,Low,Yes,Irregular,No,11/22/2020,Completed,Unemployed,Yes,Homeless,No,8,Illegal Drugs
27,Male,Widowed,Catholic,College,Calios,Illegal Drugs,1 - Theft,Yes,No,15,6.9,None,,3,Contraband,Poor,22,No,No,No,Art Therapy,Low,None,Yes,High,Moderate,Moderate,Yes,Low,Willing,No,No,0,Prosocial,Homeless,Yes,No,Yes,Drugs,Yes,None,Absent,No,Good,1,No,College,Odd Jobs,High,No,Irregular,No,8/14/2022,None,Employed,No,With Family,No,,
26,Female,Single,None,High School,Calios,Illegal Drugs,3 - Homicide,Yes,Yes,9,3.3,Escalation,11,4,Fighting,Good,3,Yes,Yes,No,Art Therapy,Moderate,Antisocial,Yes,Moderate,High,High,No,High,Willing,Yes,No,3,Prosocial,Alone,No,No,Yes,Alcohol,No,None,Absent,No,Good,3,No,High School,Odd Jobs,High,No,Regular,No,2/15/2020,Parole,Unemployed,No,Renting,No,11,Illegal Drugs
56,Female,Widowed,Christian,College,Bagumbayan,Assault,0 - Estafa,No,Yes,10,3,Escalation,16,0,None,Poor,4,No,No,No,Sports,Very High,Schizoid,Yes,High,High,Moderate,Yes,Low,Willing,Yes,No,1,Antisocial,With Peers,No,No,Yes,Both,No,Occasional,Strong,No,Good,4,No,College,Retail,Medium,Yes,Irregular,Yes,3/24/2022,None,Unemployed,No,With Family,Yes,16,Assault
41,Female,Separated,Iglesia,Vocational,Malinao,Fraud,1 - Theft,No,No,10,8.2,Escalation,21,0,Verbal Threats,Poor,0,No,No,Yes,None,High,None,No,Low,Low,Moderate,Some,Low,Willing,Yes,No,0,Antisocial,Homeless,Yes,Yes,Yes,Alcohol,Yes,None,Strong,No,Good,5,Yes,Vocational,Factory,None,Yes,Regular,No,2/26/2020,None,Employed,No,Homeless,No,21,Fraud
61,Female,Married,None,College,Pagsawitan,Homicide,2 - Assault,No,Yes,4,2.2,Same,2,2,None,Fair,15,No,No,No,None,High,Antisocial,Yes,Moderate,Low,Low,Yes,Low,Resistant,No,No,2,Antisocial,With Family,Yes,No,Yes,None,Yes,Occasional,Strong,Yes,Good,0,No,College,Unemployed,High,No,None,No,1/7/2024,Completed,Employed,No,With Family,No,2,Homicide
61,Female,Married,Christian,High School,Patimbao,Homicide,1 - Fraud,Yes,No,2,1.3,Same,7,5,Fighting,Good,25,No,Yes,No,None,Moderate,Schizoid,Yes,Low,Low,High,Some,Moderate,Resistant,Yes,Yes,5,Antisocial,With Family,Yes,Yes,Yes,Both,No,Frequent,Absent,Yes,,2,No,High School,Factory,Medium,Yes,Irregular,No,5/22/2022,Parole,Employed,Yes,Halfway House,No,7,Homicide
46,Male,Separated,Christian,College,Labuin,Homicide,3 - Illegal Drugs,No,Yes,11,2.1,None,,5,Contraband,Poor,4,Yes,Yes,Yes,Art Therapy,High,Schizoid,Yes,Moderate,Moderate,Low,No,Low,Resistant,Yes,Yes,4,Prosocial,Homeless,Yes,No,Yes,Drugs,Yes,None,Absent,Yes,Good,3,No,College,Odd Jobs,Low,Yes,None,Yes,7/11/2023,Parole,Unemployed,Yes,Renting,No,,
54,Female,Separated,None,College,Labuin,Homicide,1 - Illegal Drugs,No,No,12,4.3,Same,2,0,Verbal Threats,Poor,29,Yes,No,No,Art Therapy,High,Schizoid,No,Moderate,High,Low,Yes,Moderate,Willing,Yes,No,0,Prosocial,With Family,Yes,Yes,Yes,None,No,Occasional,Strained,Yes,Good,2,No,College,Clerk,Low,Yes,Regular,Yes,1/23/2021,Completed,Employed,Yes,Renting,No,2,Homicide
26,Male,Single,Christian,College,Palasan,Illegal Drugs,2 - Fraud,No,No,6,5.4,Same,10,3,Fighting,Fair,1,Yes,No,No,None,Moderate,BPD,Yes,Low,Low,Moderate,Yes,Moderate,Willing,No,No,4,Antisocial,With Family,Yes,No,No,Both,Yes,Frequent,Strong,Yes,Poor,2,No,College,Factory,Low,No,Irregular,No,3/3/2023,None,Employed,No,With Family,No,10,Illegal Drugs
37,Male,Widowed,Iglesia,High School,Malinao,Illegal Drugs,3 - Estafa,Yes,No,13,7.4,None,,1,Contraband,Fair,29,No,No,No,Art Therapy,Very High,Narcissistic,No,High,Moderate,High,Some,High,Willing,No,Yes,2,Antisocial,Homeless,No,Yes,No,Both,No,Occasional,Strained,Yes,Good,2,Yes,High School,Construction,Low,No,Irregular,No,5/28/2020,Parole,Unemployed,No,Homeless,No,,
57,Female,Single,None,None,Aplaya,Fraud,2 - Homicide,No,No,14,0.6,None,,3,Fighting,Poor,22,Yes,No,Yes,None,High,None,No,Low,Moderate,Moderate,Yes,High,Resistant,Yes,Yes,5,Antisocial,Alone,No,Yes,Yes,Alcohol,Yes,None,Strong,Yes,,5,No,None,Construction,High,Yes,Irregular,No,6/24/2021,Parole,Unemployed,No,Halfway House,No,,
58,Male,Widowed,Catholic,Elementary,Jasaan,Robbery,2 - Assault,No,Yes,12,11.8,Escalation,15,5,Fighting,Fair,16,No,Yes,No,None,High,BPD,No,High,High,High,No,Moderate,Cooperative,Yes,No,5,Prosocial,With Family,Yes,Yes,Yes,None,Yes,Occasional,Absent,No,,3,Yes,Elementary,Unemployed,None,Yes,Irregular,No,4/14/2021,Parole,Employed,Yes,Halfway House,Yes,15,Robbery
36,Female,Separated,Catholic,College,Jasaan,Estafa,2 - Theft,Yes,No,10,5.2,None,,1,Contraband,Poor,9,No,No,Yes,Sports,Low,Antisocial,Yes,Low,High,High,Some,Low,Resistant,Yes,No,2,Prosocial,With Family,No,No,Yes,Drugs,No,Frequent,Absent,No,Poor,0,No,College,Unemployed,None,Yes,Irregular,No,8/1/2023,Completed,Unemployed,Yes,Homeless,Yes,,
60,Female,Widowed,Catholic,Elementary,Aplaya,Assault,0 - Illegal Drugs,No,Yes,7,6,Escalation,24,4,Contraband,Poor,5,No,No,Yes,None,Very High,Schizoid,Yes,Low,Moderate,High,No,Low,Willing,No,No,4,Antisocial,Homeless,Yes,Yes,No,Both,Yes,Frequent,Strong,Yes,,1,No,Elementary,Unemployed,Low,Yes,None,No,10/23/2022,Completed,Employed,No,Homeless,Yes,24,Assault
63,Female,Widowed,Christian,College,San Juan,Homicide,3 - Illegal Drugs,Yes,No,6,3.6,None,,5,Contraband,Poor,22,Yes,Yes,No,None,Very High,None,Yes,High,High,Low,No,High,Resistant,Yes,Yes,5,Antisocial,Alone,No,No,Yes,Alcohol,Yes,Frequent,Strained,Yes,Good,2,Yes,College,Clerk,High,Yes,None,No,3/16/2020,None,Unemployed,No,Renting,Yes,,
65,Female,Single,None,Graduate,Santo Angel,Illegal Drugs,1 - Illegal Drugs,Yes,Yes,3,2.7,Escalation,19,4,Contraband,Poor,26,Yes,No,Yes,None,Very High,Schizoid,Yes,Moderate,Moderate,High,Some,Moderate,Cooperative,Yes,No,1,Prosocial,With Family,Yes,Yes,No,Alcohol,Yes,Occasional,Strong,No,Good,5,Yes,Graduate,Factory,Low,Yes,Regular,No,11/9/2023,Parole,Unemployed,Yes,Renting,Yes,19,Illegal Drugs
39,Female,Married,Muslim,Graduate,Aplaya,Homicide,0 - Estafa,Yes,Yes,4,3.7,None,,0,Fighting,Fair,16,Yes,Yes,Yes,Sports,High,BPD,No,High,Moderate,High,Some,Moderate,Willing,Yes,Yes,0,Prosocial,Homeless,Yes,Yes,No,Alcohol,Yes,None,Strong,Yes,Good,2,Yes,Graduate,Retail,High,No,Irregular,No,7/5/2021,None,Employed,Yes,Renting,No,,
20,Male,Single,Christian,High School,Bagumbayan,Robbery,3 - Robbery,No,Yes,10,1.8,None,,0,Contraband,Poor,30,No,No,No,None,High,Schizoid,No,Low,Moderate,Moderate,Some,Low,Resistant,Yes,No,3,Prosocial,With Peers,Yes,Yes,No,Drugs,No,Frequent,Absent,No,,0,No,High School,Retail,Medium,Yes,Irregular,No,5/14/2022,None,Unemployed,No,Halfway House,Yes,,
36,Female,Married,Muslim,Elementary,Patimbao,Robbery,3 - Assault,No,No,14,0.7,None,,4,Fighting,Good,8,Yes,Yes,No,None,High,BPD,Yes,Low,High,Low,Yes,Moderate,Resistant,No,No,2,Antisocial,Alone,No,No,No,Alcohol,No,None,Strong,No,Poor,1,Yes,Elementary,Construction,None,Yes,Irregular,Yes,9/22/2021,Parole,Unemployed,Yes,Renting,No,,
48,Male,Married,Christian,Vocational,Malinao,Illegal Drugs,0 - Estafa,No,Yes,10,5.1,Same,31,0,Verbal Threats,Fair,7,Yes,Yes,No,Art Therapy,Moderate,BPD,No,Low,Low,Low,No,Moderate,Resistant,Yes,No,2,Prosocial,Alone,No,Yes,Yes,None,No,Occasional,Strong,Yes,,4,No,Vocational,Factory,None,Yes,Regular,No,9/4/2021,Completed,Employed,No,Renting,Yes,31,Illegal Drugs
44,Female,Married,Christian,Graduate,Malinao,Robbery,2 - Assault,Yes,No,4,1.2,None,,5,None,Poor,3,No,Yes,Yes,Art Therapy,Low,Schizoid,Yes,Low,Moderate,Low,Some,Low,Resistant,Yes,Yes,4,Antisocial,Homeless,Yes,Yes,No,Alcohol,Yes,Frequent,Strained,Yes,Good,5,No,Graduate,Odd Jobs,Medium,No,Irregular,Yes,12/1/2024,Completed,Employed,Yes,With Family,Yes,,
41,Female,Separated,None,None,Pagsawitan,Illegal Drugs,2 - Fraud,Yes,Yes,8,6.2,Escalation,19,5,Contraband,Good,1,No,No,Yes,Art Therapy,Moderate,Schizoid,Yes,Low,Low,High,Some,Moderate,Resistant,No,Yes,3,Prosocial,With Peers,Yes,Yes,Yes,None,No,Occasional,Strained,Yes,Good,3,No,None,Retail,None,Yes,None,Yes,2/13/2021,Parole,Unemployed,No,Halfway House,Yes,19,Illegal Drugs
19,Male,Single,Christian,Vocational,Taytay,Estafa,2 - Estafa,No,Yes,10,7.9,Escalation,16,4,Contraband,Fair,20,Yes,No,No,None,Low,Narcissistic,Yes,Low,Low,Low,Yes,High,Cooperative,Yes,Yes,3,Antisocial,Homeless,Yes,No,Yes,None,Yes,None,Absent,Yes,,1,Yes,Vocational,Unemployed,Low,No,Regular,Yes,1/12/2023,Parole,Unemployed,No,Halfway House,Yes,16,Estafa
61,Female,Married,Christian,College,Gatmaitan,Assault,2 - Fraud,No,No,14,10.7,None,,2,None,Fair,7,Yes,No,Yes,Art Therapy,High,Antisocial,Yes,Low,Moderate,Moderate,Yes,Moderate,Resistant,No,Yes,1,Prosocial,Alone,No,No,No,Both,No,None,Strong,Yes,Poor,5,No,College,Retail,None,No,Irregular,No,1/9/2024,Completed,Unemployed,Yes,Renting,No,,
64,Male,Single,Muslim,College,Aplaya,Estafa,2 - Illegal Drugs,No,No,10,4.8,Same,25,2,Fighting,Fair,2,No,Yes,Yes,Art Therapy,Very High,BPD,Yes,Low,Moderate,Low,Yes,Moderate,Willing,No,Yes,4,Prosocial,Alone,Yes,Yes,No,Drugs,Yes,Occasional,Strong,Yes,Poor,0,No,College,Odd Jobs,High,Yes,None,No,1/17/2024,None,Employed,No,Halfway House,No,25,Estafa
50,Male,Separated,Muslim,High School,Bagumbayan,Homicide,3 - Assault,No,No,5,1.1,None,,2,Fighting,Poor,18,Yes,No,Yes,Art Therapy,Moderate,Narcissistic,No,Moderate,High,Moderate,No,Moderate,Resistant,No,Yes,5,Prosocial,Homeless,No,Yes,No,Alcohol,Yes,None,Strong,No,,0,No,High School,Retail,Medium,No,Regular,Yes,4/22/2024,Parole,Unemployed,No,Homeless,Yes,,
59,Male,Separated,Muslim,Elementary,San Pablo Norte,Estafa,0 - Theft,Yes,Yes,12,9.7,Escalation,25,1,Contraband,Good,25,No,No,No,Sports,High,BPD,Yes,Low,High,High,Yes,Moderate,Cooperative,Yes,Yes,0,Prosocial,With Peers,No,No,Yes,Both,Yes,None,Absent,No,Good,5,Yes,Elementary,Odd Jobs,High,No,Irregular,Yes,10/25/2023,None,Employed,Yes,Halfway House,Yes,25,Estafa
22,Male,Separated,Catholic,Elementary,Malinao,Theft,1 - Homicide,No,Yes,10,4.9,None,,2,None,Fair,18,Yes,No,No,None,Moderate,Narcissistic,Yes,High,Low,Moderate,No,Low,Willing,No,Yes,3,Prosocial,Homeless,Yes,Yes,Yes,None,No,None,Absent,No,Poor,2,Yes,Elementary,Unemployed,High,Yes,Regular,Yes,6/21/2021,None,Unemployed,No,With Family,Yes,,
42,Male,Single,None,High School,Aplaya,Illegal Drugs,3 - Theft,Yes,No,1,0.9,Same,1,1,Fighting,Good,23,Yes,Yes,No,None,Moderate,Schizoid,Yes,Moderate,Low,High,Yes,Low,Cooperative,Yes,No,4,Antisocial,With Peers,Yes,Yes,No,Both,No,None,Absent,No,Good,0,Yes,High School,Construction,Medium,Yes,Regular,No,3/18/2021,Parole,Employed,No,With Family,No,1,Illegal Drugs
34,Male,Widowed,None,Graduate,Calios,Theft,3 - Estafa,Yes,Yes,2,1.8,Escalation,2,1,Contraband,Fair,27,No,No,No,Art Therapy,Low,BPD,No,High,Low,High,Yes,High,Resistant,Yes,No,2,Antisocial,With Peers,No,No,No,None,Yes,Occasional,Strong,No,,1,No,Graduate,Odd Jobs,Low,No,Regular,Yes,11/15/2020,None,Unemployed,No,Homeless,No,2,Theft
25,Male,Married,Catholic,Elementary,Pagsawitan,Estafa,0 - Homicide,Yes,Yes,1,0.6,None,,3,None,Fair,26,No,No,No,None,Moderate,BPD,No,High,Low,Moderate,Yes,High,Cooperative,Yes,No,4,Prosocial,Alone,Yes,No,No,Both,No,Occasional,Strong,No,Good,5,Yes,Elementary,Clerk,High,No,None,Yes,5/26/2020,None,Unemployed,Yes,Homeless,No,,
56,Female,Widowed,Muslim,Graduate,Alipit,Fraud,2 - Homicide,No,No,6,3.1,None,,0,Fighting,Poor,26,No,Yes,No,Sports,High,BPD,No,High,High,High,Yes,High,Cooperative,No,Yes,1,Antisocial,Homeless,No,No,No,Drugs,No,Frequent,Strained,No,,2,No,Graduate,Clerk,Medium,No,None,No,4/24/2020,Parole,Employed,Yes,With Family,No,,
32,Female,Separated,Muslim,College,Bagumbayan,Assault,1 - Robbery,Yes,Yes,3,3,Escalation,22,5,Fighting,Good,11,No,No,Yes,Sports,Very High,Antisocial,No,High,Moderate,Moderate,No,High,Cooperative,Yes,Yes,5,Antisocial,With Family,Yes,Yes,No,Both,Yes,None,Strong,No,,3,No,College,Unemployed,None,No,Regular,Yes,6/24/2020,None,Employed,No,Renting,Yes,22,Assault
22,Female,Married,None,High School,Gatmaitan,Robbery,0 - Theft,No,No,15,11,Escalation,22,0,Verbal Threats,Fair,6,No,No,Yes,Art Therapy,Very High,Schizoid,Yes,Low,Moderate,Low,Yes,High,Resistant,Yes,Yes,0,Prosocial,With Peers,Yes,Yes,Yes,Alcohol,No,Occasional,Strong,Yes,Good,5,No,High School,Construction,High,No,Regular,No,11/7/2023,None,Employed,Yes,Homeless,Yes,22,Robbery
28,Female,Separated,Iglesia,Graduate,San Pablo Norte,Homicide,0 - Theft,No,Yes,2,1.6,Escalation,22,1,None,Good,8,Yes,No,Yes,Art Therapy,High,BPD,Yes,Low,Moderate,High,Some,High,Willing,Yes,No,1,Antisocial,With Family,No,No,No,Alcohol,No,Occasional,Strong,No,,2,No,Graduate,Construction,Low,No,Irregular,No,9/19/2021,Completed,Employed,No,Halfway House,No,22,Homicide
54,Male,Married,Muslim,High School,San Juan,Homicide,2 - Theft,No,Yes,2,0.5,Same,20,5,None,Good,3,No,No,No,Art Therapy,High,BPD,Yes,High,Moderate,Moderate,No,High,Resistant,No,No,1,Prosocial,Alone,Yes,Yes,No,Alcohol,Yes,Frequent,Absent,Yes,,2,No,High School,Odd Jobs,Medium,Yes,None,No,12/7/2023,Completed,Unemployed,Yes,With Family,Yes,20,Homicide
40,Male,Widowed,Muslim,College,Patimbao,Fraud,3 - Fraud,Yes,Yes,4,4,None,,0,Verbal Threats,Fair,11,Yes,No,Yes,None,Moderate,Antisocial,Yes,Moderate,Low,Moderate,No,High,Cooperative,Yes,No,0,Prosocial,Homeless,No,No,Yes,Both,No,Frequent,Strained,Yes,Good,2,Yes,College,Construction,None,Yes,Irregular,No,3/11/2024,Completed,Employed,No,Renting,No,,
35,Male,Married,Catholic,Vocational,Santo Angel,Fraud,1 - Theft,Yes,No,11,6.1,None,,5,None,Poor,9,Yes,No,No,Art Therapy,Low,Antisocial,Yes,Moderate,High,Moderate,Yes,Low,Resistant,No,No,0,Prosocial,Homeless,Yes,Yes,No,Both,No,None,Strained,No,Good,3,No,Vocational,Factory,Low,Yes,Regular,Yes,6/13/2020,None,Unemployed,No,With Family,Yes,,
42,Male,Single,None,None,Calios,Homicide,0 - Homicide,Yes,No,4,1.1,None,,2,Verbal Threats,Poor,10,Yes,Yes,Yes,Art Therapy,High,Narcissistic,Yes,Low,High,Low,Some,High,Cooperative,No,Yes,5,Prosocial,With Peers,No,No,No,Alcohol,Yes,Frequent,Strained,No,Poor,5,No,None,Clerk,High,No,Irregular,Yes,7/27/2022,None,Unemployed,Yes,Renting,Yes,,
43,Male,Married,Christian,High School,San Pablo Norte,Fraud,1 - Homicide,No,Yes,1,0.7,None,,2,None,Poor,16,No,No,Yes,Art Therapy,Low,BPD,No,Low,Moderate,High,Some,Moderate,Willing,Yes,No,4,Prosocial,With Family,No,Yes,No,None,Yes,Occasional,Absent,No,Poor,2,Yes,High School,Odd Jobs,High,No,Irregular,No,11/23/2020,Completed,Employed,Yes,Halfway House,Yes,,
